iter	Passed	Remaining
0	0	87
1	1	79
2	2	75
3	3	72
4	3	69
5	4	70
6	5	70
7	6	70
8	6	68
9	7	67
10	8	67
11	9	67
12	9	66
13	10	64
14	11	63
15	12	63
16	12	62
17	13	62
18	14	61
19	15	62
20	16	61
21	17	60
22	17	59
23	18	59
24	19	58
25	20	57
26	20	55
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	46
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	33	38
46	33	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	38	32
54	39	32
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	46	24
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	67	2
97	68	1
98	69	0
99	69	0
